played_at,track_name,artist_name,album_name,track_id,popularity
2024-08-21 09:21:11.252000+00:00,Reverse,Caravan Palace,Gangbusters Melody Club,645LfiINfoGnuTCoAgFeiQ,39
2024-08-21 09:17:08.818000+00:00,Trick Me,Klischée,Trick Me,6SlzsMv6eppTcoFYQrjrrE,35
2024-08-21 09:14:40.089000+00:00,Come Again,"Atom Smith, Miss Emmma",Playing with Fire,2k5sUywtCsRwYXXetHMJug,24
2024-08-21 09:11:15.431000+00:00,Dance (To Save Your Soul) - Electro Swing Radio Mix,Swing Sonix,Dance (To Save Your Soul) [Electro Swing Radio Mix],3pXQOgmtcy2AVysJuXKsxP,25
2024-08-21 09:08:46.312000+00:00,Honey Has Spice,"Swing Republic, LOUQ",Honey Has Spice,1fZEVdJPI8ql1A7ZT3XAmV,32
2024-08-21 09:05:37.896000+00:00,Opposites Attract,Daisy La Fontaine,Opposites Attract,4CiRAe324clbMmEAyh1pie,20
2024-08-21 09:02:59.611000+00:00,What's a Girl to Do...,Elle & The Pocket Belles,What's a Girl to Do...,3lh0wQDlbHFOLkdivGl9qS,29
2024-08-21 09:00:16.533000+00:00,"Comme ci, comme ça","Pisk, Serena Ganci","Comme ci, comme ça",7fOMXGitBDPOR8aD0Kuvax,35
2024-08-21 08:57:10.760000+00:00,Don´T Break,DJ Mibor,Don´T Break,3UrSUNasoMFxMz9UzhIrcq,35
2024-08-21 08:54:15.360000+00:00,Is It Really Me... Or Not?,Swingrowers,Is It Really Me... Or Not?,2xTHbHHQuWCwrnvKys0fPy,33
2024-08-21 08:51:21.388000+00:00,Dark Eyes,Sonia Elisheva,Dark Eyes,0hbrM25y1UFyRBmBFtdiZf,22
2024-08-21 08:47:59.821000+00:00,Sunny,Intended Immigration,Sunny,758jr3lwM0Q6O9yPafMs8k,39
2024-08-21 08:45:00.704000+00:00,I Wanna MMM - Electro Swing Bot Version,The Swing Bot,I Wanna MMM (Electro Swing Bot Version),3YGGpRjcF18lLfcHS7Txxr,35
2024-08-21 08:41:16.478000+00:00,Pink Electric Shoes,Parov Stelar,Pink Electric Shoes,10YPCuYZFhYYwcfEqusfBL,52
2024-08-21 08:37:59.543000+00:00,Rosco's Groove,Odd Chap,Rosco's Groove,1bm1Zba5IyvaBP6Q9oyq8i,35
2024-08-21 08:35:04.321000+00:00,London Energy,Sonia Elisheva,London Energy,5aP7ZbzdxWdwRylb7yXo0E,12
2024-08-21 08:29:31.274000+00:00,Red Flag,Cloudy June,Red Flag,0fNzU26XiTKY2lhmOpokgR,49
2024-08-21 08:27:03.161000+00:00,Scatterbrain,Emei,Scatterbrain,0LVdV9NG0y0ROxbYLpjbKc,66
2024-08-21 08:24:52.028000+00:00,SLEEP PARALYSIS DEMON,Ethan Bortnick,luna park,5vtfuPC5ixKg9QZX0Gdedy,48
2024-08-21 08:22:17.637000+00:00,DEBT,"Shalco, Tianda",DEBT,2cpaFyRX9phrMFD09fuWsL,40
2024-08-21 08:19:23.427000+00:00,Red Flags (Run),Disco Face,Red Flags (Run),3yaqu3hHwFmmeJOQfWDWBQ,31
2024-08-21 08:16:59.036000+00:00,Wake Me Up,Anya Nami,Wake Me Up,0oay0G48d22WMU4hbFCEnH,49
2024-08-21 08:14:49.176000+00:00,Dance With My Demons,Disco Face,Dance With My Demons,6ilBrv1QTmCTIMQHAuLG6m,36
2024-08-21 08:11:21.686000+00:00,dopamine,Madelline,dopamine,3EwCOs6Dh5tlsbIpvMjH4I,53
2024-08-21 08:08:36.087000+00:00,Unsubstantial,Anya Nami,Unsubstantial,7u9gUIq2jVEnIgUXAVXnBb,54
2024-08-21 08:06:55.318000+00:00,Bury Me Alive,Disco Face,Bury Me Alive,6VRlKUGc0VuS62Q0uvsSwL,31
2024-08-21 08:03:41.466000+00:00,Don't Go Insane,DPR IAN,Dear Insanity...,5LWWAw887ODAUvR2LR1kDg,66
2024-08-21 07:50:53.039000+00:00,Better Off Alone,Alice Deejay,Who Needs Guitars Anyway?,5XVjNRubJUW0iPhhSWpLCj,77
2024-08-21 07:47:17.345000+00:00,Oops!...I Did It Again,Britney Spears,Oops!... I Did It Again,6naxalmIoLFWR0siv8dnQQ,81
2024-08-21 07:43:45.480000+00:00,Government Hooker,Lady Gaga,Born This Way (International Special Edition Version),6LGwEHsFbxt7BgDwGXqFgj,67
2024-08-21 07:39:31.071000+00:00,Can't Remember to Forget You (feat. Rihanna),"Shakira, Rihanna",Shakira. (Expanded Edition) [Spanish Version],7o1Pm9jpH0wFpN5g793Lnq,74
2024-08-21 07:36:03.776000+00:00,Troublemaker (feat. Flo Rida),"Olly Murs, Flo Rida",Right Place Right Time - Expanded Edition,6s8nHXTJVqFjXE4yVZPDHR,76
2024-08-21 07:32:57.564000+00:00,SugarCrash! (feat. Kim Petras & Curtis Waters),"ElyOtto, Kim Petras, Curtis Waters",SugarCrash! (feat. Kim Petras & Curtis Waters),6wGOOMMVgaT9LEi2y9jeq1,43
2024-08-21 07:30:24.453000+00:00,Lucky - Karaoke Version,Lucky Twice,Young & Clever,3Skc2tTXp01z2BOWbnv8Od,22
2024-08-21 07:26:59.218000+00:00,...Baby One More Time,Britney Spears,...Baby One More Time (Digital Deluxe Version),3MjUtNVVq3C8Fn0MP3zhXa,83
2024-08-21 07:23:27.203000+00:00,Haunted,Laura Les,Haunted,1toNKayLMeCcVlsLGXJl7n,65
2024-08-21 07:21:45.109000+00:00,Bumble Bee,Bambee,On Ice,25KtsqJyla5mmxyTmpHCkd,61
2024-08-21 07:18:27.647000+00:00,"Money, Money, Money",ABBA,Arrival,3lKN03PDeBnXZS7sDukRBt,71
2024-08-21 07:15:21.004000+00:00,eighteen - Nightcore,PAYWALL,18,6fgJVMwEPYG89lgSmzcxV4,53
2024-08-20 21:56:57.732000+00:00,Around the World (La La La La La) - Radio Version,"A Touch Of Class, Pete Konemann",Planet Pop,7CvOnbFdnIoXMQ4eFCo5lB,68
2024-08-20 21:53:22.041000+00:00,Two Time,Jack Stauber's Micropop,Inchman / Two Time,7JTGwb6ug0z15F5roNLE0s,63
2024-08-20 21:51:01.994000+00:00,How to Be a Heartbreaker,"Nightcore Reality, Lizzy",How to Be a Heartbreaker,1gnkpybsRV3GWkRzJdxeIi,48
2024-08-20 21:47:53.823000+00:00,bloody mary (lady gaga) - sped up version,sped up viral,bloody mary (lady gaga) [sped up version],7dstLFiyNkxcLJVj8q76Ch,56
2024-08-20 21:44:41.298000+00:00,Alejandro,Lady Gaga,The Fame Monster (Deluxe Edition),4lwavw59UjXUPJZtKNdFYp,71
2024-08-20 21:40:06.956000+00:00,Mi Mi Mi,SEREBRO,Mi Mi Mi,0pqCMHN3IVkBDlWAg0kiVa,50
2024-08-20 21:36:53.866000+00:00,California Gurls,"Katy Perry, Snoop Dogg",Teenage Dream,1GhbQDYGEOjyFwfT8lojcx,68
2024-08-20 21:32:58.623000+00:00,Blow My Brains Out,Tikkle Me,Tikkle Me,4ZlQzskKkK4jsbcqO96luB,66
2024-08-20 21:29:15.504000+00:00,TEETH!,ElyOtto,TEETH!,4t2AtxetnW6fRtZfk5NJvW,40
2024-08-20 21:27:52.795000+00:00,Bang Bang Bang Bang,Sohodolls,Ribbed Music For The Numb Generation,1MPMUZopRX9DFx3HXToTKG,58
2024-08-20 21:24:50.514000+00:00,Paparazzi,Lady Gaga,The Fame,02XnQdf7sipaKBBHixz3Zp,76
